date;x;y;z
1573728305807;-0.962155307;-0.162141562;0.081302253
1573728305817;-0.677786799;-0.007130242;0.095687554
1573728305827;0.269883751;1.082220764;0.674142779
1573728305837;0.338490104;1.448046661;1.152229834
1573728305847;-0.005019971;1.434249097;1.442762223
1573728305857;-0.433056885;1.147399277;1.200178406
1573728305867;-0.852100988;0.703399158;-0.265688498
1573728305877;-0.52845184;0.731270962;-0.549654451
1573728305887;-0.591313298;0.600339646;-0.761504242
1573728305896;-1.484361597;0.602854724;-0.839046772
1573728305907;-2.060893972;0.574221798;-0.487362763
1573728305917;-2.399536863;0.4440538;-0.328598611
1573728305926;-1.843014729;0.324597288;-0.462076467
1573728305937;-0.738913355;0.305647221;-1.043868369
1573728305947;-0.468547295;-0.077263382;-0.666542896
1573728305957;0.268723337;-0.398913977;-0.502588529
1573728305967;1.823882364;-0.380422685;-0.662559974
1573728305977;4.401100939;1.289242479;0.23609658
1573728305987;3.658786731;1.521726015;-0.745819101
1573728305997;3.202841438;1.738359358;-1.6845805
1573728306007;2.85340808;2.218123552;-0.167801829
1573728306017;2.175466237;2.157570741;0.64722595
1573728306027;1.311332081;2.170420759;1.008113316
1573728306037;0.497441557;2.272637266;1.005688231
1573728306047;-0.061733486;2.139891735;0.590030131
1573728306057;0.180456565;1.206256955;-0.079600003
1573728306067;0.527437533;0.398059152;-1.151605246
1573728306077;1.509875222;-0.386405736;-3.847956464
1573728306087;1.790170037;-0.922040391;-3.675957716
1573728306097;1.723271055;-1.779588642;-2.573016768
1573728306107;1.210065017;-2.634179642;-1.53743525
1573728306117;-1.452964769;-3.639632837;1.773338412
1573728306126;-2.250297064;-3.126226533;2.67514774
1573728306137;-2.581705089;-2.500981226;2.661096452
1573728306147;-3.214580914;-1.617713082;2.465980815
1573728306157;-4.364442746;-1.110295191;1.313900317
1573728306167;-3.368971189;-1.026142036;1.357578059
1573728306177;-2.112907283;-1.112049036;1.4231661
1573728306187;0.225035578;-1.640460914;2.211135152
1573728306197;1.099401975;-1.649472003;2.167303469
1573728306207;2.335196222;-1.993784908;2.055623553
1573728306217;2.940759351;-2.192620853;1.445301073
1573728306227;3.992156736;-3.041219409;-1.280098806
1573728306237;3.760672563;-3.214442965;-1.422474154
1573728306247;2.947246165;-3.169147107;-1.919446773
1573728306257;1.852141643;-2.97968147;-1.719432109
1573728306267;0.792183324;-2.276485044;-1.78926372
1573728306277;0.189382874;-1.606667581;-1.584639879
1573728306287;-0.35414918;-1.116782238;-1.574169709
1573728306297;-0.497839799;-0.58696789;-1.749668275
1573728306307;-0.766021244;-0.209085229;-1.32312024
1573728306316;-0.888629049;0.231126973;-1.395599845
1573728306327;-1.063329717;0.813140257;-1.652780917
1573728306337;-1.861974593;2.581196486;-2.685962221
1573728306347;-2.485567471;3.658537435;-3.17540323
1573728306357;-2.693307035;4.964774741;-3.199207014
1573728306366;-2.859498685;8.829176055;-3.248895793
1573728306377;-2.364213328;9.469035424;-3.380584072
1573728306387;-3.147847637;9.551880866;-4.803703555
1573728306397;-4.234441745;7.19714129;-4.762336166
1573728306407;0.841564188;-3.328761578;-0.484801031
1573728306417;1.669239338;-6.61631546;0.654115504
1573728306427;0.124883029;-8.64876545;2.193487411
1573728306437;1.049925687;-9.784392933;3.164495854
1573728306447;2.203677859;-7.229921659;0.876724361
1573728306457;1.027443561;-1.248361699;-1.443825055
1573728306467;0.484851195;3.230428988;-2.825255052
1573728306477;-2.339593542;15.28701882;-4.558637727
1573728306487;-1.96361209;17.07164844;9.193672285
1573728306497;0.896095649;12.58471743;17.60595158
1573728306507;-0.815412604;3.555545554;11.51051581
1573728306517;3.62275651;-13.39782849;1.194540695
1573728306527;7.95475924;-14.68689149;-2.369434678
1573728306537;9.489677143;-12.3011373;-4.944803209
1573728306547;7.25463768;-8.630401492;-4.24697721
1573728306557;0.287469833;-3.579253864;1.383160066
1573728306567;-0.766012026;-1.101270447;3.481576166
1573728306577;-1.516860257;1.01902179;4.118352287
1573728306587;-1.857049664;3.910441431;2.084173674
1573728306597;-1.179181926;4.69128802;2.43348331
1573728306607;0.696203906;6.189369985;3.402461392
1573728306617;2.610230603;8.062042863;4.208289228
1573728306627;1.950278217;5.806073499;1.803696888
1573728306637;0.564234873;4.261785374;1.305051245
1573728306647;-2.413992866;1.969077958;2.714236003
1573728306657;-4.643345916;-0.953015222;3.044793496
1573728306667;-6.840546674;-2.555190193;-6.20627536
1573728306677;-7.004726081;-3.484504022;-13.56116239
1573728306687;-4.975542569;-4.36586135;-7.232727366
1573728306697;-1.130376262;-4.764488931;0.940567241
1573728306707;0.704602494;-3.826914021;1.441983879
1573728306717;1.942742183;-2.954271085;0.693900395
1573728306727;2.42759852;-1.949698835;0.723672095
1573728306737;1.850141465;-0.16537621;2.969308522
1573728306747;0.560739731;0.128188687;2.927071115
1573728306757;0.09616528;-0.004709182;1.100502603
1573728306767;0.597910529;-0.708620404;-1.356739932
1573728306777;0.340422405;-0.81206272;-1.192652173
1573728306787;0.057817464;-0.772233184;-0.647663909
1573728306797;-0.275526758;-0.541172167;-0.012475743
1573728306807;-0.588170764;-0.203094594;-0.224501049
1573728306817;-0.470536611;0.159305102;-0.532027368
1573728306827;-0.391752165;0.52583962;-0.670788125
1573728306837;-0.374693331;0.788420719;-0.643890751
1573728306847;-0.912670372;1.228329501;0.511521091
1573728306857;-0.959979628;1.059277981;0.899549476
1573728306867;-0.752660826;0.770808005;0.91883716
1573728306880;-0.234379256;0.739229412;0.244737124
1573728306887;-0.156857557;0.652675033;-0.570354862
1573728306897;-0.002902943;0.522140027;-1.099845283
1573728306907;0.242843852;0.341097641;-1.002459347
1573728306917;-0.158151352;0.487398377;0.653707123
1573728306927;-0.524916334;0.818959992;1.457661991
1573728306937;-0.695745025;0.747105249;1.64113932
1573728306948;-0.740470723;0.260580928;1.282265704
1573728306957;-1.159323561;0.039912344;0.673386034
1573728306967;-0.942781725;0.415002537;-0.104852536
1573728306977;-0.953422959;0.577168045;-1.018578464
